Date,Australia,Austria,Belgium,Canada,Switzerland,Chile,Colombia,Czech Republic,Germany,Denmark,Euro area,Euro area (17 countries),Spain,Estonia,Finland,France,United Kingdom,Greece,Hungary,Ireland,Iceland,Israel,Italy,Japan,Korea,Lithuania,Luxembourg,Latvia,Mexico,Netherlands,Norway,New Zealand,OECD - Total,Poland,Portugal,Russia,Slovak Republic,Slovenia,Sweden,Turkey,United States,South Africa
2000-04-01,58.1845255835591,96.2445102404856,66.1498685231197,49.0214797763664,76.997809435592,NA,48.0109650610431,NA,99.5766033711485,81.510105091592,86.179766415512,88.4107805982779,82.9396973847064,NA,83.3589710006452,65.8192110230551,67.2313036217659,107.978440367902,NA,138.625768958325,NA,72.1292366247122,93.3677490244082,130.90135223787,76.8306284459546,NA,NA,NA,NA,117.390962703842,61.8489271954241,42.7236281094333,87.7477724287215,NA,142.290504586116,NA,NA,NA,48.5752288778201,NA,95.0474504120009,NA
2000-07-01,57.8328511924268,93.1330015153549,65.9876694081437,49.3881123479931,77.4627862971641,NA,47.5129233721473,NA,100.435999821377,82.5267129779545,86.9004405321885,89.3261223830982,83.3360571068936,NA,80.2275843942677,67.0240790584329,67.0737532833834,110.346832053726,NA,131.781567251064,NA,71.0610112406092,94.8668301773175,129.478818724817,76.2539020869124,NA,NA,NA,NA,121.363881023597,61.1639975497292,43.3094322889366,88.1496094411794,NA,143.866167207398,NA,NA,NA,49.6974865603635,NA,95.7512376283981,NA
2000-10-01,58.6979418233255,94.170906571005,67.2666882289605,49.7297138407387,76.4585574604576,NA,45.7853323846828,NA,100.933976647243,83.5480825935898,87.691152321081,90.2640346118453,84.7639978163094,NA,78.089278676874,67.8608017412368,69.3968215082997,112.996901746561,NA,125.869147386749,NA,69.9508865054604,95.9731686474076,128.041124043267,75.527712867448,NA,NA,NA,NA,124.030777895344,61.4867808343088,43.1637555296662,88.7985038905195,NA,146.706585846314,NA,NA,NA,50.6262221981228,NA,96.5757590361391,NA
2001-01-01,59.7000899202553,94.9448829463065,67.6997766027283,50.1160038994822,76.3207975485181,NA,49.2823096289307,NA,100.423244816758,84.3850935329434,88.5026485080521,91.1332380303967,86.0907022871408,NA,77.1377829160627,69.5817197932272,69.6471250063946,116.497119172159,NA,123.215308484301,NA,68.1602937916071,97.126807030873,126.685297709475,74.9417704469797,NA,NA,NA,NA,126.001894294691,61.872373226561,47.4138955856148,89.3663591026025,NA,147.00468718686,NA,NA,NA,51.7960959173091,NA,97.5368435056692,NA
2001-04-01,61.1304143142917,91.8890517910749,68.2142152519564,50.347440098797,75.3628790298112,NA,47.6867399476136,NA,99.7333186017095,84.3923234321107,89.2811977996406,91.8257486821305,86.6626244961024,NA,77.0199652609354,71.0851246671825,70.0454540791233,119.557129045741,NA,122.777537401576,NA,66.4564095955345,98.7253082838712,125.513650001787,75.1985440543111,NA,NA,NA,NA,128.392743246359,62.5238947042681,47.8027648072883,89.7253940076402,NA,147.521422147728,NA,NA,NA,51.7407895690612,NA,98.049925102273,NA
2001-07-01,64.0023070358543,93.6269586892398,68.4691347325082,50.860246760989,75.0581422179406,NA,48.464052006086,NA,99.2522524494981,84.5195406355327,90.10668780667,92.5243104960309,87.9791589187327,NA,77.1872606951129,71.94037676932,71.5141221579191,122.009249417128,NA,124.847580951702,NA,65.6414401040752,99.991189900382,124.021857576982,76.8452685369531,NA,NA,NA,NA,130.239517970824,63.81300122541,48.7877951797093,90.2859799826979,NA,147.176717771669,NA,NA,NA,52.1179433582215,NA,98.5788991275277,NA
2001-10-01,65.6439670380207,91.9710907566168,68.5533129334569,51.4830504495826,75.8979742626647,NA,49.7043223452117,NA,98.1201164656794,84.1919163450792,90.9234658203514,93.1927528468213,90.3863586681556,NA,78.8486189717999,72.8684651282046,70.4504925947131,123.525948874833,NA,128.103638453165,NA,65.1381157837006,101.917947961447,122.423820978928,77.8441197595798,NA,NA,NA,NA,131.332646927313,63.6932728898014,49.3326574386807,90.5801397232378,NA,146.431916355061,NA,NA,NA,52.1577156318209,NA,99.1291370637777,NA
2002-01-01,68.2292046958539,93.3358746316996,69.2822080440576,52.2431392214584,75.5198883249874,83.9879146173173,47.280012295492,NA,97.0830545234447,84.7799206881441,92.1982340653501,94.0694117472632,93.5028747460611,NA,80.7892382677487,73.5075485664183,73.4755143847648,126.772054100404,NA,132.439751727647,NA,64.4592427963629,103.946573992295,120.80483432623,81.5605556229947,NA,NA,NA,NA,132.739650500927,63.5801332055902,50.1722010386016,91.4011935579828,NA,144.91150054989,NA,NA,NA,52.7627812841587,NA,99.7303844138733,56.2557472376206
2002-04-01,71.5826984425529,92.5062907386946,70.4103967013372,53.3003492432279,75.0802292776412,87.0038584112242,48.0105997273634,NA,97.1502631633921,85.2338018627417,93.2859232215144,95.3977649038375,97.7837698695577,NA,81.9933178486883,74.7731488075692,77.4226244055,131.605743471073,NA,135.740857079211,NA,62.5463749206908,105.586588803528,119.257721596236,83.2386028359048,NA,NA,NA,NA,133.456126801044,63.9034461650913,51.3618495107482,92.5235153759735,NA,143.713479044624,NA,NA,NA,53.4675457916087,NA,100.729970315902,55.6332029802299
2002-07-01,74.1973483136732,92.6292150696303,71.2888528654406,54.2565678036181,74.0527429996934,86.8362882465649,48.2529060503685,NA,96.8640794182692,85.2483958497558,94.1800197469874,96.3651500045574,99.5644102802792,NA,82.9947210651982,76.4061856150371,81.5261348586806,131.797795816067,NA,138.504119072862,NA,62.0344646268372,107.419710731681,117.580525592362,84.9215786608816,NA,NA,NA,NA,134.104767818495,62.8983819822403,52.9668509775225,93.5614475146787,NA,142.390697926958,NA,NA,NA,54.623317617767,NA,101.976710405525,54.1001136030636
