Date,Australia,Austria,Belgium,Brazil,Canada,Switzerland,Chile,China (People's Republic of),Colombia,Czech Republic,Germany,Denmark,Euro area,Euro area (17 countries),Spain,Estonia,Finland,France,United Kingdom,Greece,Hungary,Indonesia,India,Ireland,Iceland,Israel,Italy,Japan,Korea,Lithuania,Luxembourg,Latvia,Mexico,Netherlands,Norway,New Zealand,OECD - Total,Poland,Portugal,Russia,Slovak Republic,Slovenia,Sweden,Turkey,United States,South Africa
2004-10-01,72.9089307846716,74.9138093813639,81.8554161322398,NA,63.238817668477,68.9598387029951,94.5935618331576,NA,53.5693182376993,NA,92.912710906434,87.7902644070683,101.841932252966,102.996611716459,133.121814720728,NA,88.1730541832338,88.1951203597059,96.5356983006517,147.113725533115,NA,148.743200115226,NA,130.043245086817,NA,60.9256182894929,123.457115831648,103.314476460339,86.3786636361015,NA,NA,NA,NA,120.107752922566,63.8025516220632,68.5626867878246,99.1742036187105,NA,129.030289990628,78.7062776872821,NA,NA,57.4723224419841,NA,109.2156432632,87.4287754371649
2005-01-01,73.2096082681247,74.1069658340795,84.4358454810163,NA,64.3156224718267,68.7549238329604,93.1509003511381,NA,51.7421940247483,NA,95.1667220410782,90.8681193217836,103.230238652457,105.357709376281,137.812349749665,75.3992756291415,90.6062457918969,91.1367801677316,97.01053150142,150.653560106145,NA,144.111471355377,NA,133.260495061739,98.0495945613464,60.3054464068442,125.260255742784,102.248561319308,86.2790697712618,NA,NA,NA,93.5229379099416,120.849417826151,65.7550788899415,70.9132613447276,100.586373786517,NA,127.557219584237,80.5252516782509,78.3162632369413,NA,57.7320599428286,NA,111.316600561979,92.684825473303
2005-04-01,72.9620353275758,74.6513802146329,85.2668255658513,NA,65.4150860901457,69.1667084286383,92.2351204746099,NA,52.5630030426348,NA,92.8604286654457,94.1494482711656,104.353914258756,105.971516089311,139.998160743257,82.8243668969265,91.2150727128561,94.086852304607,97.9386024750202,154.933853734553,NA,143.166937237513,NA,136.10583999536,107.762726647993,61.3329199951531,126.47450622585,101.138038617398,87.3071291865923,NA,NA,NA,94.1843192534005,121.141935607209,65.7815911047315,73.1870692432825,101.607041835486,NA,128.042558175126,83.050161861591,78.3873457875308,NA,58.4224340899676,NA,113.547068012741,96.0133702705365
2005-07-01,72.2597966721008,74.3535636008648,86.5864671640117,NA,66.0504671865715,70.3446893365075,92.0884497807634,NA,53.5146016062507,NA,94.5457731406554,100.972469084129,105.361464188984,107.748212306621,142.139603381984,88.1109013948401,93.4452771094877,96.7656162353575,98.5325712342701,158.541882409771,NA,138.726982057309,NA,136.904549617387,114.177080348237,61.2157886766898,127.669181972081,100.173740021831,87.9221135672588,NA,NA,NA,95.6491842927428,121.526993446274,67.1302580572754,74.836590011518,102.796074319042,NA,129.293407039641,84.6561080364751,81.8578464976744,NA,60.2464981442512,NA,115.292039205306,99.3607337827449
2005-10-01,72.7423259982193,76.1254638100974,88.6401642250634,NA,67.5221578986345,70.7895226886973,91.4774130354232,NA,53.3831757322796,NA,93.0284509468547,107.696445494889,106.787414743163,108.92842458548,146.319106802913,97.2510564610038,96.2048066790977,99.467166229115,99.1216824520469,161.883984039942,NA,134.952629540819,NA,143.536255824568,118.090774350014,62.0302449345046,129.170370168224,99.4820163422799,87.8109424017679,NA,NA,NA,96.1527926361071,122.081160162978,68.4040540512072,76.8805554606662,103.793650252643,NA,128.52310453356299,87.6008580382498,82.7896362280935,NA,62.9872599582477,NA,116.824471533885,103.260865704378
2006-01-01,73.4321767460066,76.1336989196957,90.1606674507131,NA,69.2090896655676,71.8449354044854,90.520913762476,NA,55.2817154352054,NA,92.7804360876463,115.542003842683,107.941196217085,110.103788330174,149.239873507729,108.928551793559,95.9199281337925,101.899355506105,100.794337701835,167.206802143847,NA,133.215565504906,NA,146.733161173035,121.545779493167,61.1759799730923,130.572046821666,98.4450632660785,88.9540936608407,119.418750857847,NA,122.209485597545,96.6648565937424,121.925801179101,70.4970406262829,77.8208903144177,104.728491134261,NA,127.534338793849,95.0741645744438,85.2628747726081,NA,64.9447086012613,NA,117.955541450132,106.679288139455
2006-04-01,74.8475060200885,76.2374311609496,91.2968925089675,NA,71.2420693275664,72.4448017115853,88.8055235779173,NA,55.496225348833,NA,92.5913971428982,120.02490362929,108.849401984218,111.138134670982,152.142647135939,116.868015858629,97.5316281410525,103.849042582066,102.079186938273,169.463115079617,NA,131.69149532725,NA,151.016364488304,119.518436689899,60.0824046851334,131.301188721203,97.9796163746302,90.258253412963,117.640061128017,NA,132.501343024995,96.6473367886177,123.016010868212,73.0520264758774,78.03141799898,105.238132261778,NA,126.749923663002,106.257595934122,87.737356364639,NA,65.7708068116689,NA,117.870752655817,110.195449137023
2006-07-01,75.7669710878262,76.5393138408974,92.3554460848398,NA,74.0267709914841,72.5910891112458,88.5721426805677,NA,58.2689525297517,NA,91.6637472157585,120.80393273465,109.744641250944,112.030308389809,156.923100686656,124.208579390131,98.3114970900493,105.30528851038,103.29542322206,172.145013889024,NA,130.449526289814,NA,157.949236841883,118.316436992778,59.8194216370165,132.104905543461,97.1859894587428,90.7958608659364,126.755538597465,NA,139.824704461861,96.4939814295262,123.224783590759,76.2413855300953,79.6847181517437,105.479940450968,NA,126.13704011097,119.769925364873,89.6441086926955,NA,66.681036363285,NA,117.258800868217,112.737871878719
2006-10-01,76.3748575163271,76.3234750316691,93.373995147693,NA,75.806007673193207,75.8795764427402,87.7750657552327,NA,59.1686700798393,NA,93.1478951756339,121.703709276479,110.973719073557,114.097936154587,162.542546441514,135.032451888332,100.409320517629,107.188637158851,105.575740602248,176.374585333264,NA,123.676854431744,NA,160.27693346169,117.900677131803,59.241588006003,133.637519601681,97.5831851145723,96.9623446051718,139.206072943641,NA,154.90210581603299,96.8565155630334,124.737906528001,78.384866569729,82.0210756786526,106.936282190522,NA,125.985143149867,136.25356783136,95.0075202786407,NA,68.6133899389705,NA,118.049866243153,113.9036489579
2007-01-01,77.118457920975,77.3200315980452,95.0294916182033,NA,76.4792739470911,76.7396785255149,94.8998080978686,NA,61.7257783319286,NA,88.3105157361757,122.266182921016,111.372204118442,113.380100817094,164.244239864503,136.571662487441,100.874878738608,108.337149926721,108.893669989169,175.219299538929,124.963818134923,121.369083790468,NA,163.349341976249,120.085026251505,57.8797500352201,134.785621203183,97.5898261231451,98.8093292879442,146.200777129184,82.5281507671973,167.393238878125,97.7972583227343,125.262264852288,81.2187062787369,84.9347140424147,107.091583472719,NA,125.466506075491,145.482333552393,100.965003086099,134.632034293075,70.8693130377319,NA,117.642997381586,115.460418011332
